Categoría,Sección,Regla_Negocio
Preguntas Frecuentes (FAQ),¿Cómo actualizo mis datos?,"Para realizar la actualización periódica de datos generales, tales como obtención de nuevos títulos académicos, cambios en el estado civil, nacimiento de hijos o modificaciones en los contactos de emergencia, el colaborador de Lignum Atelier debe ingresar al módulo de información personal dentro del portal de autogestión. El empleado ingresará las modificaciones y adjuntará de forma digitalizada los soportes legales correspondientes, tales como diplomas universitarios, actas de matrimonio o registros civiles de nacimiento. El área de Recursos Humanos revisará la validez de los soportes aportados en un lapso no mayor a cinco días hábiles y procederá a la validación formal en el sistema para que se reflejen los cambios correspondientes."
Preguntas Frecuentes (FAQ),¿Qué pasa si olvido marcar ingreso?,"El registro de la jornada laboral diaria mediante los dispositivos biométricos o plataformas digitales establecidos por Lignum Atelier es una responsabilidad ineludible de cada colaborador. Si por razones excepcionales o fallas técnicas el empleado omite registrar su ingreso o salida, deberá reportar la novedad de manera inmediata a su jefe directo a través del formulario digital de 'Justificación de Omisión de Marcación' disponible en la intranet. El jefe inmediato deberá validar y autorizar la corrección de la marcación dentro de la misma semana en que ocurrió el evento; las omisiones reiteradas de registro que carezcan de justificación válida serán notificadas a Gestión Humana y podrán dar lugar a amonestaciones disciplinarias por incumplimiento de controles horarios."
Preguntas Frecuentes (FAQ),¿Cómo reporto horas extras?,"La ejecución de trabajo en jornada extraordinaria u horas extras dentro de Lignum Atelier debe contar obligatoriamente con la autorización previa, expresa y por escrito del gerente de área correspondiente, no reconociéndose ningún tiempo adicional que haya sido laborado de manera unilateral por el colaborador. Una vez ejecutadas las horas extras autorizadas, el supervisor del área registrará las novedades en la planilla de control semanal del sistema informático de tiempos de la compañía. Estas planillas son auditadas de forma cruzada por el área de operaciones y remitidas al departamento de Nómina en los cortes establecidos de cada mes para su liquidación económica y pago de acuerdo con los recargos legales fijados en la política de compensación."
Preguntas Frecuentes (FAQ),¿Qué pasa si pierdo mi carné?,"El carné corporativo otorgado por Lignum Atelier es un documento de identificación institucional de uso obligatorio y personalísimo para el acceso y permanencia en las instalaciones de la empresa. En caso de pérdida, extravío o hurto del mismo, el colaborador está obligado a reportar de inmediato el incidente al área de Seguridad Corporativa para proceder al bloqueo informático de los accesos asociados a la tarjeta. Posteriormente, el empleado deberá tramitar la solicitud de reposición ante el departamento de Gestión Humana. La primera reposición por pérdida en el año calendario no tendrá costo; sin embargo, a partir de la segunda pérdida consecutiva, el colaborador deberá asumir el costo administrativo de fabricación del nuevo carné vía descuento."
Preguntas Frecuentes (FAQ),¿Cómo solicito una licencia?,"Para acceder a licencias especiales con o sin goce de sueldo, tales como licencias por luto, matrimonio, paternidad, maternidad o licencias por motivos de estudio prolongados en Lignum Atelier, el colaborador debe radicar una solicitud formal ante la Dirección de Gestión Humana con una antelación proporcional a la naturaleza del evento. En los casos fortuitos como luto, el reporte se hará inmediatamente ocurra el suceso, debiendo aportar el acta de defunción dentro de los cinco días hábiles posteriores al reintegro. Las licencias discrecionales no obligatorias quedan supeditadas al análisis de la jefatura, la viabilidad presupuestal y operativa, y requerirán la firma de una adenda contractual donde se especifiquen las condiciones de reincorporación."
Preguntas Frecuentes (FAQ),¿Cómo solicito un préstamo corporativo?,"Los colaboradores con más de dos años de antigüedad en Lignum Atelier pueden solicitar préstamos financieros directos sin intereses para fines específicos de vivienda o salud. La solicitud se radica en el área de Bienestar Laboral adjuntando presupuestos médicos o escrituras. El fondo cuenta con un cupo limitado mensual de asignación, y las cuotas de amortización mensual se deducen directamente de la nómina del empleado en un plazo máximo acordado de veinticuatro meses, requiriendo el aval del área financiera corporativa."
Preguntas Frecuentes (FAQ),¿Qué hago si tengo dudas sobre mi desprendible de pago?,"Si un colaborador identifica alguna inconsistencia o tiene dudas sobre los conceptos liquidados en su desprendible mensual de pago en Lignum Atelier, debe enviar un requerimiento formal al correo de atención de nómina dentro de los primeros cinco días hábiles posteriores al abono. Un analista de nómina revisará detalladamente el cálculo de horas extras, retenciones o deducciones y generará una respuesta aclaratoria por escrito; si se comprueba un error de liquidación, la diferencia será abonada mediante un pago complementario inmediato."
Preguntas Frecuentes (FAQ),¿Cuál es la política para celebrar cumpleaños?,"Lignum Atelier valora el bienestar de su personal y otorga a cada colaborador el beneficio de disfrutar de media jornada libre remunerada durante el día de su cumpleaños, la cual podrá ser tomada en la tarde o en la mañana previa coordinación con su jefe directo para no afectar las entregas operativas. Adicionalmente, el área de Clima Organizacional coordina una celebración grupal mensual para conmemorar a todos los cumpleañeros del mes respectivo, fortaleciendo los lazos de integración familiar que nos caracterizan."
Preguntas Frecuentes (FAQ),¿Cómo me inscribo en las actividades de bienestar?,"La inscripción en las diversas actividades recreativas, torneos deportivos, talleres de desarrollo personal y eventos culturales organizados por Lignum Atelier se realiza de manera digital a través de los enlaces publicados en el boletín interno semanal enviados al correo electrónico institucional. Los cupos para los talleres se asignan por estricto orden de inscripción electrónica. La participación en estas actividades es de carácter totalmente voluntario y, por regla general, se desarrolla fuera de la jornada laboral ordinaria, extendiéndose la invitación a los familiares directos del colaborador en eventos especiales."
Guía de Envíos y Entregas,Entrega de documentos,"El protocolo de entrega de documentos oficiales orientados al área de Gestión Humana de Lignum Atelier exige que toda la correspondencia física, tales como cartas, soportes académicos o notificaciones legales, sea consignada de manera presencial en la ventanilla única de recepción administrativa de la sede principal. Cada documento entregado debe ser presentado en duplicado para proceder al sellado físico de radicación, el cual constará de la fecha, hora exacta y la firma del funcionario receptor. Para los colaboradores destacados en delegaciones foráneas o plantas secundarias, la entrega se validará mediante el envío a través de las empresas de mensajería expresa autorizadas por la organización, siendo el costo asumido por el área remitente."
Guía de Envíos y Entregas,Entrega de contratos,"La formalización y entrega de copias físicas de los contratos de trabajo y sus correspondientes modificaciones u otrosíes en Lignum Atelier se realiza bajo un estricto control de seguridad jurídica. Al momento de la firma contractual, que se efectúa de manera presencial en las oficinas de Recursos Humanos o a través de la plataforma de firma digital certificada aprobada por la empresa, se generan dos ejemplares con idéntico valor legal. El área de contrataciones procederá a hacer entrega inmediata de uno de los ejemplares originales impresos o del archivo digital con cifrado criptográfico al colaborador para su archivo personal, archivando el segundo ejemplar en la carpeta física y digital del expediente laboral."
Guía de Envíos y Entregas,Entrega de dotación,"Lignum Atelier realiza la entrega de dotación de calzado y vestimenta de labor de forma periódica y obligatoria tres veces al año a todo el personal técnico, de planta de fabricación y de instalación, de conformidad con los perfiles de riesgo y funciones operativas asignadas. La entrega se programa cronológicamente por cuadrillas en el almacén de suministros central de la empresa. Al momento de recibir los elementos de dotación, el colaborador debe probarse las prendas para verificar las tallas correspondientes y firmar de manera obligatoria el 'Acta de Recibo e Inventario de Dotación', comprometiéndose formalmente a usar el uniforme de manera limpia, correcta y exclusiva durante el desarrollo de sus turnos de trabajo."
Guía de Envíos y Entregas,Entrega de equipos,"La asignación de herramientas tecnológicas de trabajo en Lignum Atelier, tales como ordenadores portátiles, teléfonos móviles corporativos, tabletas de diseño o pantallas adicionales, se formaliza mediante la firma obligatoria de un 'Acta de Entrega y Responsabilidad de Activos Tecnológicos' gestionada por el área de Sistemas y validada por Gestión Humana. En este documento se detalla de forma exhaustiva el número de serie, marca, especificaciones de hardware y el estado físico actual del equipo entregado. El colaborador asume legalmente la custodia del bien, obligándose a utilizarlo exclusivamente para fines laborales institucionales y a reportar inmediatamente al área de soporte técnico cualquier falla, desperfecto o eventualidad material."
Guía de Envíos y Entregas,Carné corporativo,"El proceso de confección y entrega del carné corporativo de identificación institucional se gestiona durante el primer día de inducción del colaborador en Lignum Atelier. El área de Gestión Humana toma la fotografía digital reglamentaria y procede a la emisión física de la tarjeta de identificación plástica con chip inteligente integrado para control de accesos biométricos. El carné se entrega directamente al empleado, quien debe firmar el registro de conformidad de entrega de credenciales. Se establece el uso obligatorio de este distintivo en un lugar visible del torso durante toda la permanencia dentro de cualquiera de las sedes, plantas, oficinas o puntos de exhibición comercial propiedad de la compañía."
Guía de Envíos y Entregas,Correspondencia,"Toda la correspondencia de índole estrictamente laboral, notificaciones internas de Recursos Humanos, citaciones corporativas, circulares de la Dirección o desprendibles especiales físicos emitida por Lignum Atelier destinada a los colaboradores que realizan sus funciones en campo o bajo esquemas remotos autorizados será remitida por medio del servicio postal certificado contratado oficialmente por la compañía. Las entregas se efectuarán exclusivamente en la dirección residencial registrada por el empleado en los sistemas informáticos corporativos de autogestión. Se considerará como notificación formal y válida la firma de recibido que conste en la guía de entrega de la empresa postal transportadora certificada."
Guía de Envíos y Entregas,Documentación digital,"Lignum Atelier promueve de manera estratégica la digitalización y despapelización de los flujos de información laboral internos. La entrega de documentación digital, tales como notificaciones de promociones, aprobaciones de permisos, desprendibles de pago y manuales operativos, se efectúa exclusivamente a través del correo electrónico corporativo con extensión institucional o mediante notificaciones securizadas en la plataforma oficial de la empresa. Estos envíos electrónicos cuentan con metadatos de trazabilidad que registran con exactitud la fecha y hora de recepción y apertura por parte del destinatario, poseyendo plena validez legal e institucional dentro de los procesos de auditoría del área de Gestión Humana."
Guía de Envíos y Entregas,Documentación física,"En aquellos casos específicos donde la ley o los reglamentos internos exijan la entrega obligatoria de documentación física a los colaboradores de Lignum Atelier (por ejemplo, cartas de despido, resoluciones disciplinarias formales o certificaciones de retención fiscal en original), el área de Gestión Humana citará al trabajador a las dependencias de personal para proceder a la entrega en mano. El funcionario encargado dará lectura al documento y solicitará al colaborador firmar la copia respectiva colocando de puño y letra la frase 'recibí original', la fecha, hora exacta y su firma manuscrita. Si el empleado se niega a firmar el recibido, se dejará constancia formal mediante la firma de dos testigos presenciales."
Guía de Envíos y Entregas,Activos corporativos,"La entrega de activos corporativos no tecnológicos en Lignum Atelier, que abarca vehículos de la compañía para fines comerciales, herramientas pesadas de ebanistería, maquinaria de corte, equipos de medición especializada o llaves de acceso a dependencias restringidas, se realiza bajo la estricta supervisión de la Jefatura de Logística e Inventarios. El proceso requiere el diligenciamiento de un formato especializado de asignación patrimonial, donde el colaborador firma aceptando las condiciones de uso, mantenimiento preventivo y políticas de resguardo del activo. El empleado se hace responsable penal y civilmente por los daños materiales causados por negligencia manifiesta, mal uso o abandono deliberado de los bienes corporativos entregados."
Guía de Envíos y Entregas,Proceso de devolución,"El proceso de devolución de activos y herramientas de trabajo en Lignum Atelier se activa obligatoriamente ante situaciones de traslados de puesto, cambios de funciones, licencias prolongadas superiores a noventa días o suspensiones contractuales temporales. El colaborador deberá presentarse ante las áreas de Tecnología e Inventarios con la totalidad de los bienes que le fueron entregados en su momento para su revisión técnica y física. Los encargados de recibir los activos validarán el estado de funcionamiento de los equipos informáticos, herramientas o vehículos, y procederán a emitir un 'Acta de Devolución y Liberación de Responsabilidad Patrimonial' en caso de encontrarse todo conforme a lo registrado originalmente."
Guía de Envíos y Entregas,Entrega al finalizar contrato,"Al momento de producirse la terminación del vínculo laboral por cualquier causa en Lignum Atelier, el colaborador tiene la obligación legal e institucional perentoria de realizar la devolución total de los activos de la empresa a más tardar el último día de su jornada laboral efectiva. Esta entrega de salida incluye de forma estricta el ordenador portátil, periféricos, teléfono móvil corporativo con su tarjeta SIM, herramientas de ebanistería, uniformes y dotación con distintivos de la marca, carné de identificación institucional y llaves de acceso. La entrega oportuna y el correspondiente paz y salvo firmado por los jefes de Sistemas, Logística y Gestión Humana constituyen un requisito indispensable para proceder al desembolso de la liquidación final de prestaciones."
Términos y Condiciones,Código de ética,"El Código de Ética de Lignum Atelier representa el conjunto fundacional de principios rectores morales que norman de manera imperativa el comportamiento y las interacciones de todos los colaboradores, directivos y proveedores vinculados a la organización. Este código prohíbe de manera tajante la aceptación u ofrecimiento de sobornos, dádivas, regalos o favores de cualquier índole provenientes de clientes o proveedores que busquen influir de forma indebida en las decisiones comerciales o administrativas de la empresa. Todos los empleados están obligados a actuar bajo los más estrictos parámetros de integridad, honestidad y transparencia comercial, reportando cualquier conducta sospechosa que atente contra la reputación de la marca a través de la Línea Ética Institucional."
Términos y Condiciones,Código de conducta,"El Código de Conducta de Lignum Atelier establece las directrices normativas específicas de comportamiento diario que garantizan la coexistencia armoniosa, el respeto mutuo y la disciplina operativa dentro de todas las instalaciones de la empresa. Este reglamento prescribe pautas claras referidas a la puntualidad en los horarios de ingreso, el uso obligatorio y pulcro de los uniformes asignados, el trato profesional y cortés hacia los compañeros de trabajo, supervisores y visitantes, y prohíbe expresamente presentarse bajo los efectos de sustancias alucinógenas o alcohólicas, proferir gritos o usar lenguaje obsceno, y ejecutar conductas que pongan en riesgo la seguridad física o moral de los miembros de la organización laboral."
Términos y Condiciones,Confidencialidad,"Los términos de confidencialidad de Lignum Atelier determinan que toda la información técnica, comercial, operativa, financiera o administrativa de la compañía a la que el colaborador tenga acceso directo o indirecto durante el ejercicio de sus funciones se clasifica como secreto industrial y comercial protegido. Esta protección cubre de manera prioritaria los diseños originales de mobiliario, los procesos artesanales e industriales de secado y corte de madera, los listados de clientes y proveedores estratégicos, los márgenes de costos y las estrategias comerciales futuras. Queda terminantemente prohibido difundir, publicar o transferir esta información a terceros sin autorización expresa, subsistiendo esta obligación de confidencialidad de forma indefinida tras la extinción del contrato."
Términos y Condiciones,Uso de equipos,"La política de uso de equipos e infraestructura en Lignum Atelier determina que todas las herramientas operativas, maquinaria industrial, vehículos y dispositivos informáticos provistos por la compañía son de propiedad exclusiva de la empresa y están destinados de manera única y restrictiva al cumplimiento de las funciones laborales asignadas. El colaborador se compromete a operar la maquinaria y los equipos siguiendo estrictamente los manuales de seguridad técnica, a no realizar modificaciones de hardware o software sin autorización del área de Sistemas, y a resguardar los equipos portátiles en lugares seguros. La utilización de estos recursos corporativos para fines de lucro personal o actividades ajenas a la empresa constituye una falta laboral sancionable."
Términos y Condiciones,Uso del correo corporativo,"El correo electrónico institucional con extensión oficial provisto por Lignum Atelier se define legalmente como una herramienta de trabajo de propiedad corporativa, asignada exclusivamente para la gestión de las comunicaciones formales de la organización. Queda terminantemente prohibido emplear la cuenta de correo corporativa para la inscripción en plataformas de entretenimiento personal, suscripciones a servicios ajenos a las funciones del cargo, difusión de cadenas de oración, chistes, propaganda política o religiosa, y el envío de contenido que pueda catalogarse como ofensivo o difamatorio. La compañía se reserva el derecho de auditar y monitorear el uso de las cuentas de correo electrónico institucional mediante herramientas informáticas automatizadas de control de seguridad."
Términos y Condiciones,Uso de internet,"El acceso a la red de internet corporativa de Lignum Atelier se concede a los colaboradores con el fin exclusivo de servir de soporte en la ejecución de sus responsabilidades laborales y de investigación de negocios. El departamento de Tecnologías de la Información mantiene filtros automatizados y bloqueos permanentes sobre sitios web dedicados al streaming de video no laboral, descargas de software ilegal, plataformas de apuestas en línea, redes sociales de uso personal y portales con contenido adulto o violento. El uso deliberado de redes privadas virtuales (VPN) individuales para saltarse estos bloqueos institucionales se considera una violación directa de los protocolos de seguridad informática y dará inicio a las acciones disciplinarias correspondientes."
Términos y Condiciones,Seguridad informática,"Los términos de seguridad informática de Lignum Atelier exigen que cada colaborador actúe de manera proactiva en la protección de los activos digitales de la empresa. Esto incluye la prohibición absoluta de conectar dispositivos de almacenamiento masivo externos como memorias USB de origen desconocido en los ordenadores corporativos, la obligación de bloquear la sesión del sistema operativo cada vez que el usuario se retire de su puesto de trabajo, y la obligatoriedad de reportar de forma inmediata al área de soporte técnico cualquier correo electrónico que presente características sospechosas de phishing o intentos de suplantación de identidad corporativa, minimizando el riesgo de infección por malware."
Términos y Condiciones,Contraseñas,"La política de gestión de credenciales y contraseñas de acceso en Lignum Atelier impone la creación de claves con altos estándares de seguridad y complejidad informática. Las contraseñas para los sistemas de nómina, inventarios, correos y redes deben constar de un mínimo de doce caracteres combinando letras mayúsculas, minúsculas, números y caracteres especiales, debiendo ser renovadas de forma obligatoria cada noventa días calendario por exigencia del sistema. Queda estrictamente prohibido apuntar las contraseñas en notas físicas visibles adheridas a las pantallas u ordenadores, compartirlas de forma verbal o electrónica con compañeros de trabajo o supervisores, siendo el titular de la cuenta el único responsable legal por las acciones ejecutadas bajo su usuario corporativo."
Términos y Condiciones,Protección de activos,"Es un deber fundamental de todos los colaboradores de Lignum Atelier velar celosamente por la protección, preservación e integridad material de la totalidad de los activos fijos e intangibles pertenecientes a la organización. Este compromiso implica custodiar las materias primas de madera contra la humedad o riesgos de incendio en las plantas de producción, asegurar que las herramientas de corte queden guardadas bajo llave al término de cada turno, y dar un uso racional y eficiente a los recursos como energía eléctrica, agua y papelería corporativa. El desperdicio deliberado de materiales, el descuido en el almacenamiento de productos terminados o el abandono de bienes de la empresa serán considerados negligencia laboral pasible de sanción."
Términos y Condiciones,Propiedad intelectual,"La totalidad de los derechos de propiedad intelectual, marcas comerciales, patentes de invención, derechos de autor, planos arquitectónicos de mobiliario, software desarrollado internamente, metodologías de diseño y procesos de fabricación industrial creados, mejorados o ejecutados por los colaboradores de Lignum Atelier durante la vigencia de su contrato de trabajo y en ejercicio de sus funciones asignadas, pertenecen de forma exclusiva y originaria a la compañía. Los empleados reconocen explícitamente que sus salarios y compensaciones constituyen retribución suficiente por estos desarrollos de innovación, comprometiéndose a firmar cualquier documentación complementaria necesaria para formalizar el registro de dichos activos intangibles a nombre de la empresa."
Términos y Condiciones,Redes sociales,"La participación de los colaboradores de Lignum Atelier en plataformas de redes sociales de carácter personal se rige por la responsabilidad individual y el debido respeto a la reputación corporativa de la organización. Queda terminantemente prohibido publicar fotografías o videos capturados dentro de las instalaciones de la planta de producción, almacenes o laboratorios de diseño sin autorización explícita previa, así como emitir comentarios difamatorios sobre las políticas de la empresa, divulgar información interna de nómina o usar los logotipos oficiales de la marca para respaldar opiniones de índole personal o política. El uso indebido de las redes que cause perjuicio reputacional contrastable a la empresa será sancionado conforme al reglamento laboral."
Términos y Condiciones,Conflictos de interés,"Existe un conflicto de interés en Lignum Atelier cuando los intereses económicos, familiares, comerciales o personales de un colaborador interfieren directo o potencialmente con el cumplimiento objetivo y ético de sus responsabilidades laborales hacia la empresa. Se prohíbe de forma tajante a los empleados poseer participaciones accionarias o trabajar de forma simultánea como asesores para empresas competidoras directas del sector de fabricación de muebles, o intervenir de manera directa en los procesos corporativos de selección de proveedores cuando los oferentes sean parientes cercanos hasta el cuarto grado de consanguinidad, debiendo el colaborador declarar formalmente y por escrito cualquier situación de conflicto potencial ante Gestión Humana."
Términos y Condiciones,Sanciones disciplinarias,El régimen disciplinario establecido en el reglamento interno de trabajo de Lignum Atelier tipifica las conductas consideradas infracciones y determina las sanciones proporcionales aplicables para garantizar el orden operativo. Las sanciones se clasifican jerárquicamente en Amonestación Verbal para faltas leves iniciales; Amonestación Escrita con copia al expediente laboral para reincidencias; Suspensión Temporal del Contrato de Trabajo de uno a quince días sin goce de salario para faltas graves; y Terminación Unilateral del Contrato por Justa Causa para faltas gravísimas que vulneren la buena fe contractual. El proceso de aplicación de cualquier sanción requiere obligatoriamente el desarrollo previo de una Audiencia de Descargos formal donde se garantice el derecho de defensa del colaborador.
Términos y Condiciones,Actualización de políticas,"Lignum Atelier se reserva la facultad jurídica exclusiva de revisar, actualizar, modificar o derogar de manera total o parcial los términos, condiciones, manuales de procesos y políticas de Recursos Humanos contenidas en su cuerpo normativo interno en cualquier momento, con el fin de adaptarlas a las transformaciones del mercado, nuevas tecnologías o cambios operacionales de la empresa. Toda actualización de política interna será comunicada oficialmente a la totalidad de la plantilla de colaboradores con un mínimo de cinco días hábiles de anticipación a su entrada en vigor, utilizando para ello los canales de comunicación formales, el correo masivo institucional y la intranet, siendo responsabilidad del empleado la lectura y asimilación de los nuevos lineamientos corporativos."
Términos y Condiciones,Igualdad de oportunidades,"Lignum Atelier fundamenta su política de gestión del talento humano sobre el principio irrenunciable de igualdad de oportunidades para todas las personas. Garantizamos procesos de selección, contratación, promoción interna, asignación salarial y acceso a programas de capacitación basados única y exclusivamente en los méritos profesionales, competencias técnicas comprobables, aptitudes laborales y el desempeño objetivo del colaborador. Se prohíbe cualquier tipo de trato preferencial o exclusión arbitraria dentro de los flujos de carrera de la organización, promoviendo una cultura de equidad donde el desarrollo profesional esté al alcance de cada integrante de la plantilla laboral que demuestre el compromiso y los resultados requeridos."
Términos y Condiciones,No discriminación,"La política de no discriminación de Lignum Atelier prescribe la prohibición absoluta e irrevocable de ejecutar cualquier acción de rechazo, exclusión, marginación, segregación o acoso en contra de cualquier colaborador o postulante en razón de su raza, origen nacional, etnia, género, edad, orientación sexual, identidad de género, creencias religiosas, afiliación política o condiciones de discapacidad física que no impidan el desempeño técnico del cargo. Todo comportamiento de discriminación activa ejercido por supervisores, mandos medios o compañeros de labor será catalogado inmediatamente como una falta gravísima al código de conducta, dando lugar a la apertura de un proceso disciplinario expedito con consecuencias que pueden incluir el despido justificado."
Términos y Condiciones,Seguridad y Salud en el Trabajo,"La política de Seguridad y Salud en el Trabajo de Lignum Atelier constituye un sistema integral enfocado en identificar, evaluar y mitigar los riesgos ocupacionales asociados a la producción industrial de mobiliario. Es una obligación estricta y permanente de todos los colaboradores de la planta, operarios de maquinaria y personal de instalación usar de forma correcta la totalidad de los Equipos de Protección Personal (EPP) suministrados, tales como gafas de seguridad, protectores auditivos, mascarillas de filtración de partículas y botas con puntera reforzada. Asimismo, se establece el deber de participar activamente en los simulacros de evacuación, reportar condiciones inseguras en la infraestructura y someterse a los exámenes médicos ocupacionales periódicos programados."
Términos y Condiciones,Obligaciones del colaborador,"Constituyen obligaciones esenciales y de imperativo cumplimiento para todos los colaboradores vinculados a Lignum Atelier: ejecutar de manera personal, diligente y eficiente las labores encomendadas según su perfil de cargo; acatar con respeto las instrucciones y órdenes directas impartidas por sus superiores jerárquicos en el ejercicio de sus funciones operativas; observar rigurosamente las normas del reglamento interno de trabajo, de seguridad y salud en el trabajo y los códigos éticos; conservar en perfecto estado los bienes y activos de la empresa provistos para el desempeño laboral; y manifestar una conducta de lealtad y rectitud que salvaguarde los intereses generales de la organización en todo momento."
Términos y Condiciones,Derechos del colaborador,"Todos los colaboradores que integran la plantilla laboral de Lignum Atelier gozan plenamente de los siguientes derechos fundamentales consagrados de forma interna por la organización: percibir de manera puntual y completa la remuneración salarial acordada bajo los términos contractuales y las prestaciones correspondientes; desarrollar sus labores dentro de un entorno físico seguro, ergonómico e higiénico que mitigue los riesgos a su salud; recibir un trato digno, profesional y exento de violencia o discriminación por parte de sus superiores y compañeros; contar con los materiales y herramientas adecuadas para la correcta ejecución de sus tareas operativas; y tener acceso a mecanismos internos justos para apelar sanciones disciplinarias."
Recursos Humanos,Proceso de contratación,"El proceso de contratación en Lignum Atelier representa la fase formal de vinculación jurídica del talento seleccionado y está supeditado al cumplimiento riguroso de una serie de verificaciones documentales previas. Una vez superadas las etapas de selección técnica, el candidato deberá suministrar la totalidad de sus soportes académicos, referencias laborales verificables, antecedentes penales y someterse de forma obligatoria a los exámenes médicos preocupacionales de ingreso. Tras la validación de idoneidad documental por parte del área legal de Recursos Humanos, se procederá a la elaboración y firma manuscrita o digital del Contrato de Trabajo, cuyas cláusulas detallarán la jornada laboral, remuneración, funciones específicas y el acatamiento obligatorio de las políticas de la compañía."
Recursos Humanos,Proceso de selección,"El proceso de selección de personal en Lignum Atelier está estructurado de manera técnica y objetiva para asegurar la captación de perfiles competentes alineados con la cultura organizacional de nuestra fábrica y oficinas. El flujo de selección inicia con la publicación oficial de la requisición del cargo vacante, seguida del filtro curricular automatizado, la aplicación de pruebas psicométricas y de personalidad estandarizadas, y el desarrollo de entrevistas por competencias llevadas a cabo por especialistas de Atracción de Talento. Posteriormente, los candidatos finalistas presentarán una prueba técnica práctica presencial ante el jefe inmediato del área solicitante para evaluar habilidades reales de ebanistería, diseño o gestión administrativa, garantizando una selección imparcial."
Recursos Humanos,Inducción,"El Programa de Inducción Corporativa en Lignum Atelier es un proceso de carácter obligatorio diseñado para todo colaborador de nuevo ingreso, extendiéndose durante su primera semana laboral con la finalidad de facilitar su inserción integral a la empresa. La inducción consta de una fase general liderada por Gestión Humana, donde se expone de manera detallada la historia de Don Manuel Rojas, la misión, visión, valores, el reglamento interno de trabajo y las políticas de privacidad y reembolsos. Posteriormente, se ejecuta la fase de inducción específica en el puesto de trabajo, a cargo del jefe inmediato, quien designará un tutor corporativo para guiar al nuevo empleado en el manejo de herramientas, flujos operativos de producción o sistemas administrativos asignados."
Recursos Humanos,Capacitación,"La política de capacitación continua de Lignum Atelier concibe la formación del personal como una inversión estratégica orientada al incremento de la productividad industrial, la innovación en el diseño de muebles y la mejora del servicio al cliente. El área de Desarrollo de Talento diseña anualmente el Plan Institucional de Capacitación sustentado en los resultados de la evaluación de desempeño y los objetivos de expansión de la alta gerencia. Las capacitaciones abarcan desde cursos de especialización técnica en ebanistería fina, manejo de software de diseño tridimensional y automatización CNC, hasta talleres de desarrollo de habilidades blandas como liderazgo, comunicación asertiva y resolución de conflictos para mandos medios."
Recursos Humanos,Evaluación de desempeño,"El Sistema de Evaluación de Desempeño de Lignum Atelier se ejecuta de forma obligatoria una vez al año para todo el personal con una antigüedad mayor a seis meses en la organización, utilizando una metodología de evaluación integral que pondera de forma equilibrada el cumplimiento de indicadores clave de rendimiento cuantitativos (KPI) y la demostración conductual de competencias cualitativas vinculadas a los valores institucionales. El proceso comprende una fase de autoevaluación del empleado, la evaluación directa por parte de su jefe inmediato y una sesión presencial formal de retroalimentación donde se analizan las fortalezas del colaborador, se identifican oportunidades de mejora y se firman los compromisos individuales y planes de desarrollo para el período siguiente."
Recursos Humanos,Ascensos,"Los ascensos dentro de la estructura organizacional de Lignum Atelier constituyen el principal mecanismo de reconocimiento al mérito profesional y al rendimiento sobresaliente sostenido de los colaboradores. La empresa prioriza de forma absoluta cubrir sus vacantes gerenciales, de supervisión y técnicas mediante promociones internas antes de recurrir a la contratación de personal externo. Para ser elegible para un ascenso, el colaborador debe registrar una antigüedad mínima de un año continuo en su puesto de origen, haber alcanzado calificaciones de desempeño superiores al promedio en los dos últimos ciclos de evaluación, completar las capacitaciones requeridas para el nuevo rol y superar los exámenes de idoneidad técnica aplicados por el comité evaluador."
Recursos Humanos,Promociones,"La política de promociones horizontales en Lignum Atelier permite a los colaboradores experimentar un crecimiento profesional mediante el traslado hacia otras áreas funcionales de la compañía que posean un nivel jerárquico similar pero que impliquen una ampliación de sus responsabilidades o un cambio estratégico de funciones (por ejemplo, el traslado de un técnico de planta al área de control de calidad o diseño). Las promociones conllevan una revisión formal de la estructura de compensación salarial, la cual será ajustada de mutuo acuerdo basándose en la complejidad de las nuevas tareas y el tabulador salarial vigente del área de destino, formalizándose legalmente mediante la suscripción de un otrosí contractual."
Recursos Humanos,Bienestar laboral,"El Programa de Bienestar Laboral de Lignum Atelier tiene como propósito fundamental mejorar la calidad de vida laboral y familiar de todos los miembros de la plantilla, estructurando sus acciones en torno a cuatro pilares estratégicos: Salud y Nutrición, Recreación y Cultura, Educación Continua y Estabilidad Familiar. A través de este programa, la empresa gestiona jornadas periódicas de medicina preventiva, torneos deportivos internos de integración en nuestras canchas, subsidios parciales para la adquisición de útiles escolares para los hijos de los operarios de planta, y actividades de integración familiar durante las festividades de fin de año, promoviendo un equilibrio saludable entre las exigencias laborales y la vida personal del empleado."
Recursos Humanos,Clima organizacional,"Lignum Atelier realiza de manera obligatoria y bienal un Diagnóstico Integral de Clima Organizacional, coordinado por consultores externos especializados, con el objetivo de medir de forma anónima y cuantitativa los niveles de satisfacción laboral, percepción del liderazgo, efectividad de la comunicación interna, equidad en los sistemas de reconocimiento y el nivel de estrés laboral percibido por la plantilla. Los resultados desglosados por departamentos son analizados detalladamente por la Dirección de Gestión Humana y los respectivos gerentes de área, con la obligación de diseñar e implementar Planes de Acción Colectivos que resuelvan las desviaciones detectadas, garantizando un ambiente de trabajo armónico y colaborativo."
